"FieldName","Description"
"isUSGuided","A flag indicating whether ultrasound is guided."
"Uterussize","Size measurement of the uterus in IVF."
"TransferTech","Technician involved in embryo transfer."
"isMucusinCatheter","A flag indicating the presence of mucus in the catheter."
"TransferPerformedDate","Date when the embryo transfer was performed."
"CatheterDifficult","Information about difficult catheter insertion in IVF."
"PregnancyOutcome","Outcome of the pregnancy resulting from IVF."
"isHospitalizationOccurred","A flag indicating if hospitalization occurred during IVF."
"isMonochorionicTwin","A flag indicating monochorionic twin pregnancy."
"Ultrasound2PerformedDate","Date of the second ultrasound."
"TotalNumberFetalHeartsWithFHR","Total number of fetal hearts with fetal heart rate."
"EmrCycleOutcomeComplication","Complications related to the IVF cycle outcome."
"ReductionPerformedBy","Person or entity performing reduction"
"EmrCycleOutcomeNote","Notes related to the IVF cycle outcome."
"NumberofReduction","Number of reductions performed."
"UltrasoundPerformedDate","Date of ultrasound examination."
"PregnancyOther","Other details related to pregnancy."
"PregnancyTest2Date","Date of the second pregnancy test."
"PregnancyTestResult","Result of the pregnancy test."
"Ultrasound2PerformedBy","Person or entity performing the second ultrasound."
"FinalNumebrofFetus","Final number of fetuses in the pregnancy."
"isCycleOccurredIntended","A flag indicating if the cycle occurred as intended."
"PregnancyTest2Result","Result of the second pregnancy test."
"isReduction","A flag indicating if reduction was performed."
"UltrasoundPerformedBy","Person or entity performing the ultrasound."
"PregnancyMethod","Method used for pregnancy confirmation."
"TotalNumberFetalHeartsWithFHR2","Total number of fetal hearts with fetal heart rate (second ultrasound)."
"TreatmentOutcome","Outcome of the treatment in IVF."
"isUltrasound2","A flag indicating if a second ultrasound was performed."
"ReductionPerformedDate","Date when reduction was performed."
"isUltrasound","A flag indicating if ultrasound was performed."
"PregnancyOutcomeDate","Date of the pregnancy outcome."
"EmrCycleOutcomeSource","Source of information for the IVF cycle outcome."
"PregnancyTestDate","Date of the pregnancy test."
"PregnancyNote","Notes related to pregnancy in IVF."
"EmrCycleInseminationCatheter","Catheter used for insemination in the EMR system."
"isSounding","A flag indicating if sounding was performed."
"EmrCycleInseminationPosition","Position used for insemination."
"InseminatedDate","Date of insemination."
"EmrCycleInseminationNote","Notes related to insemination in the EMR system."
"hCGDate","Date of hCG administration."
"EaseofIUI","Ease of IUI (Intrauterine Insemination)."
"EmrCycleInseminationCatheterLot","Lot number of the insemination catheter."
"Treatment","Type of treatment."
"EmrCycleInseminationAnesthesia","Anesthesia used during insemination."
"Inseminatedby","Person or entity performing insemination."
"isLeakage","A flag indicating if leakage occurred during insemination."
"EmrCycleInseminationLocation","Location of insemination."
"Depth (mm)","Depth measurement in millimeters."
"EmrIvfSemenAnalysisKey","Key identifying semen analysis in the IVF system."
"EmrCycleInseminationCatheterLotExpiry","Expiry date of the insemination catheter lot."
"EmrCycleInseminationMotileNumber","Number of motile sperm used during insemination."
"EmrIvfSemenAnalysis2Key","Key identifying the second semen analysis in the IVF system."
"isTenaculum","A flag indicating the use of a tenaculum."
"EmrIvfSemenAnalysis3Key","Key identifying the third semen analysis in the IVF system."
"EmrCycleInseminationAmount","Amount of material used during insemination."
"EmrCycleAspirationComplication","Complications related to the aspiration phase."
"CRNA","Certified Registered Nurse Anesthetist involved."
"RetrievedBy","Person or entity responsible for retrieving materials."
"labassistant","Assistant in the laboratory."
"DenudingType","Type of denuding in IVF."
"NeedleType","Type of needle used."
"DenudedBy","Person or entity responsible for denuding."
"RetrievalDate","Date of material retrieval."
"RetrievalTechnique","Technique used for material retrieval."
"RetrievalTech","Technician responsible for material retrieval."
"OocytesRetrieved","Number of oocytes retrieved."
"ScrubTech","Technician responsible for scrubbing."
"EmrCycleAspirationNote","Notes related to the aspiration phase in the EMR system."
"AccessionNumber","accession number for records."
"Duration(minutes)","Duration of a specific process in minutes."
"isRequireHospitalization","A flag indicating whether hospitalization is required."
"ForPosition","Position information for a specific process."
"SpermWitness","Witness for sperm-related procedures."
"DenudingDate","Date of denuding procedure."
"MedicationGiven","Medication administered during IVF."
"GCPatientkey","Key identifying the patient in the GC system."
"GCEMRCycleKey","Key identifying the EMR cycle in the GC system."
"DonorPatientKey","Key identifying the donor patient."
"DonorCycleKey","Key identifying the donor cycle."
