Table,Column,Type,Size,Description
AUBatch,ReportBeginDate,datetime,,Report Begin Date
AUBatch,ReportEndDate,datetime,,Report End Date
AUBatch,RowVersionNumber,int,,Row Version Number

AUBatchReport,,,,AU Batch Report
AUBatchReport,AUBatch_ID,bigint,,Reference to AUBatch
AUBatchReport,AUBatchReport_ID,bigint,,ID for AUBatchReport
AUBatchReport,DocumentID,varchar,50,Document ID
AUBatchReport,DocumentSetID,varchar,50,Document Set ID
AUBatchReport,DocumentText,varchar,,Document Text
AUBatchReport,NHSNUnitName,varchar,75,NHSN Unit Name
AUBatchReport,ReportGeneratedDateTime,datetime,,Report Generated Date Time
AUBatchReport,RowVersionNumber,int,,Row Version Number
AUBatchReport,VersionNumber,int,,Version Number

AuthorizationAction,,,,Authorization Action
AuthorizationAction,ActionCode,varchar,5,Action Code
AuthorizationAction,Authorized,bool,,Is Authorized?
AuthorizationAction,RowVersionNumber,int,,Row Version Number
AuthorizationAction,StaffAuthorization_ID,bigint,,Reference to StaffAuthorization

AuthorizationAreaAction,,,,Authorization Area Action
AuthorizationAreaAction,ActionCode,varchar,5,Action Code
AuthorizationAreaAction,AuthorizationAreaAction_ID,bigint,,ID for AuthorizationAreaAction
AuthorizationAreaAction,Authorized,bool,,Is Authorized?
AuthorizationAreaAction,NotAuthorizedMessage,varchar,1000,Not Authorized Message
AuthorizationAreaAction,RoleAuthorizationArea_ID,bigint,,Reference to RoleAuthorizationArea
AuthorizationAreaAction,RowVersionNumber,int,,Row Version Number

AuthorizationRole,,,,Authorization Role
AuthorizationRole,AliasList,varchar,2000,Alias List
AuthorizationRole,AuthorizationRole_ID,bigint,,ID for AuthorizationRole
AuthorizationRole,CareRole,varchar,20,Care Role
AuthorizationRole,PriorAuthorizationRole,varchar,20,Prior Authorization Role
AuthorizationRole,RoleName,varchar,30,Role Name
AuthorizationRole,RowVersionNumber,int,,Row Version Number
AuthorizationRole,WindowsGroup,varchar,1000,Windows Group

BatchHistory,,,,Batch History
BatchHistory,BatchHistory_ID,bigint,,ID for BatchHistory
BatchHistory,CatchUp,bool,,Is Catch Up?
BatchHistory,DispenseBatch_ID,bigint,,Reference to DispenseBatch
BatchHistory,EndDateTime,datetime,,End Date Time
BatchHistory,FinalRun,bool,,Is Final Run?
BatchHistory,RowVersionNumber,int,,Row Version Number
BatchHistory,RunDateTime,datetime,,Run Date Time
BatchHistory,StartDateTime,datetime,,Start Date Time
BatchHistory,TraceLog,varchar,,Trace Log

CalendarDay,,,,Calendar Day
CalendarDay,CalendarDay,datetime,,Calendar Day

ChargeClaim,,,,Charge Claim
ChargeClaim,AdditionalDocumentationType,varchar,20,Additional Documentation Type
ChargeClaim,AuthorizationNumber,varchar,20,Authorization Number
ChargeClaim,ChargeClaim_ID,bigint,,ID for ChargeClaim
ChargeClaim,ClaimDateTime,datetime,,Claim Date Time
ChargeClaim,ClaimType,int,,Claim Type
ChargeClaim,DispensingFeePaid,decimal,"10,2",Dispensing Fee Paid
ChargeClaim,GrossAmountDue,decimal,"10,2",Gross Amount Due
ChargeClaim,HeaderResponseStatus,varchar,20,Header Response Status
ChargeClaim,IngredientCostPaid,decimal,"10,2",Ingredient Cost Paid
ChargeClaim,IngredientCostSubmitted,decimal,"10,2",Ingredient Cost Submitted
ChargeClaim,IntermediaryAuthorizationID,varchar,11,Intermediary Authorization ID
ChargeClaim,IntermediaryAuthorizationType,varchar,20,Intermediary Authorization Type
ChargeClaim,LengthOfNeed,int,,Length Of Need
ChargeClaim,LengthOfNeedQualifier,varchar,20,Length Of Need Qualifier
ChargeClaim,LevelOfService,varchar,20,Level Of Service
ChargeClaim,NarrativeMessage,varchar,200,Narrative Message
ChargeClaim,NCPDPMessage,varchar,,NCPDP Message
ChargeClaim,PatientInsurance_ID,bigint,,Reference to PatientInsurance
ChargeClaim,PatientPayAmount,decimal,"10,2",Patient Pay Amount
ChargeClaim,PayerID,varchar,10,Payer ID
ChargeClaim,PayerIDQualifier,varchar,20,Payer ID Qualifier
ChargeClaim,PrescriberDateSigned,datetime,,Prescriber Date Signed
ChargeClaim,PriorAuthorizationNumber,varchar,11,Prior Authorization Number
ChargeClaim,PriorAuthorizationType,varchar,20,Prior Authorization Type
ChargeClaim,ReadyToSend,bool,,Is Ready To Send?
ChargeClaim,RequestPeriodBeginDate,datetime,,Request Period Begin Date
ChargeClaim,RequestPeriodRecertificationDate,datetime,,Request Period Recertification Date
ChargeClaim,RequestStatus,varchar,20,Request Status
ChargeClaim,ResponseDateTime,datetime,,Response Date Time
ChargeClaim,ResponseMessage,varchar,2000,Response Message
ChargeClaim,ResponseMessageCodes,varchar,20,Response Message Codes
ChargeClaim,ReverseChargeClaim_ID,bigint,,Reference to ReverseChargeClaim
ChargeClaim,RowVersionNumber,int,,Row Version Number
ChargeClaim,Sent,bool,,Is Sent?
ChargeClaim,SentDateTime,datetime,,Sent Date Time
ChargeClaim,SubmittedMessage,varchar,,Submitted Message
ChargeClaim,SupportingDocumentation,varchar,65,Supporting Documentation
ChargeClaim,TotalAmountPaid,decimal,"10,2",Total Amount Paid
ChargeClaim,TransactionResponseStatus,varchar,20,Transaction Response Status
ChargeClaim,VisitCharge_ID,bigint,,Reference to VisitCharge

ChargeObservationSet,,,,Charge Observation Set
ChargeObservationSet,ChargeObservationSet_ID,bigint,,ID for ChargeObservationSet
ChargeObservationSet,RowVersionNumber,int,,Row Version Number
ChargeObservationSet,VisitCharge_ID,bigint,,Reference to VisitCharge
ChargeObservationSet,VisitObservationSet_ID,bigint,,Reference to VisitObservationSet

Chat,,,,Chat
Chat,Chat_ID,bigint,,ID for Chat
Chat,ChatName,varchar,50,Chat Name
Chat,RowVersionNumber,int,,Row Version Number

ChatMessage,,,,Chat Message
ChatMessage,Chat_ID,bigint,,Reference to Chat
ChatMessage,ChatMessage_ID,bigint,,ID for ChatMessage
ChatMessage,FromStaff_ID,bigint,,Reference to FromStaff
ChatMessage,MessageText,varchar,,Message Text
ChatMessage,MessageTime,datetime,,Message Time
ChatMessage,RowVersionNumber,int,,Row Version Number

ChatStaff,,,,Chat Staff
ChatStaff,Chat_ID,bigint,,Reference to Chat
ChatStaff,ChatIsOpen,bool,,Is Chat Is Open?
ChatStaff,ChatStaff_ID,bigint,,ID for ChatStaff
ChatStaff,LastMessageReadTime,datetime,,Last Message Read Time
ChatStaff,RowVersionNumber,int,,Row Version Number
ChatStaff,Staff_ID,bigint,,Reference to Staff

ClaimObservation,,,,Claim Observation
ClaimObservation,ChargeClaim_ID,bigint,,Reference to ChargeClaim
ClaimObservation,ClaimObservation_ID,bigint,,ID for ClaimObservation
ClaimObservation,RowVersionNumber,int,,Row Version Number
ClaimObservation,VisitObservation_ID,bigint,,Reference to VisitObservation

ClassificationProduct,,,,Classification Product
ClassificationProduct,ClassID,int,,Class ID
ClassificationProduct,ClassificationProduct_ID,bigint,,ID for ClassificationProduct
ClassificationProduct,ClassName,varchar,50,Class Name
ClassificationProduct,PBMClassification_ID,bigint,,Reference to PBMClassification
ClassificationProduct,ProductCode,varchar,15,Product Code
ClassificationProduct,ProductCodingSystem,varchar,10,Product Coding System
ClassificationProduct,RowVersionNumber,int,,Row Version Number
ClassificationProduct,SubClassID,int,,Sub Class ID
ClassificationProduct,SubClassName,varchar,50,Sub Class Name

ClauseValue,,,,Clause Value
ClauseValue,ClauseValue_ID,bigint,,ID for ClauseValue
ClauseValue,ConditionClause_ID,bigint,,Reference to ConditionClause
ClauseValue,ExpressionFieldName,varchar,100,Expression Field Name
ClauseValue,ExpressionValue,varchar,100,Expression Value
ClauseValue,RowVersionNumber,int,,Row Version Number
ClauseValue,ValueOrder,int,,Value Order

ClinicalAlert,,,,Clinical Alert
ClinicalAlert,Active,bool,,Is Active?
ClinicalAlert,AlertText,varchar,100,Alert Text
ClinicalAlert,AlertType,varchar,50,Alert Type
ClinicalAlert,Citation,varchar,2000,Citation
ClinicalAlert,ClinicalAlert_ID,bigint,,ID for ClinicalAlert
ClinicalAlert,Developer,varchar,2000,Developer
ClinicalAlert,FundingSource,varchar,2000,Funding Source
ClinicalAlert,MaxDoseAmount,decimal,"15,5",Max Dose Amount
ClinicalAlert,MaxDoseHours,decimal,"10,2",Max Dose Hours
ClinicalAlert,MaxDoseUnits,varchar,30,Max Dose Units
ClinicalAlert,MinDoseAmount,decimal,"15,5",Min Dose Amount
ClinicalAlert,MinDoseUnits,varchar,30,Min Dose Units
ClinicalAlert,MonographText,varchar,,Monograph Text
ClinicalAlert,PatientCondition_ID,bigint,,Reference to PatientCondition
ClinicalAlert,ProductCondition_ID,bigint,,Reference to ProductCondition
ClinicalAlert,RecommendedAction,varchar,20,Recommended Action
ClinicalAlert,ReleaseDate,datetime,,Release Date
ClinicalAlert,RevisionDate,datetime,,Revision Date
ClinicalAlert,RowVersionNumber,int,,Row Version Number
ClinicalAlert,Severity,varchar,20,Severity
ClinicalAlert,SNOMEDTypeCode,varchar,20,SNOMED Type Code

ClinicalRelationship,,,,Clinical Relationship
ClinicalRelationship,Active,bool,,Is Active?
ClinicalRelationship,ClinicalRelationship_ID,bigint,,ID for ClinicalRelationship
ClinicalRelationship,ClinicalRelationshipName,varchar,100,Clinical Relationship Name
ClinicalRelationship,DefaultTimeRangeBeginBase,int,,Default Time Range Begin Base
ClinicalRelationship,DefaultTimeRangeBeginHours,int,,Default Time Range Begin Hours
ClinicalRelationship,DefaultTimeRangeEndBase,int,,Default Time Range End Base
ClinicalRelationship,DefaultTimeRangeEndHours,int,,Default Time Range End Hours
ClinicalRelationship,DiagnosesCondition_ID,bigint,,Reference to DiagnosesCondition
ClinicalRelationship,ObservationsCondition_ID,bigint,,Reference to ObservationsCondition
ClinicalRelationship,ProblemsCondition_ID,bigint,,Reference to ProblemsCondition
ClinicalRelationship,ProductsCondition_ID,bigint,,Reference to ProductsCondition
ClinicalRelationship,RowVersionNumber,int,,Row Version Number
ClinicalRelationship,TimeLineShowAdminsGiven,bool,,Is Time Line Show Admins Given?
ClinicalRelationship,TimeLineShowAdminsNotGiven,bool,,Is Time Line Show Admins Not Given?
ClinicalRelationship,TimeLineShowDiagnoses,bool,,Is Time Line Show Diagnoses?
ClinicalRelationship,TimeLineShowDocuments,bool,,Is Time Line Show Documents?
ClinicalRelationship,TimeLineShowHomeFills,bool,,Is Time Line Show Home Fills?
ClinicalRelationship,TimeLineShowHomeMeds,bool,,Is Time Line Show Home Meds?
ClinicalRelationship,TimeLineShowInpatientMeds,bool,,Is Time Line Show Inpatient Meds?
ClinicalRelationship,TimeLineShowObservations,bool,,Is Time Line Show Observations?
ClinicalRelationship,TimeLineShowOtherFacilityVisits,bool,,Is Time Line Show Other Facility Visits?
ClinicalRelationship,TimeLineShowProblems,bool,,Is Time Line Show Problems?
ClinicalRelationship,TimeLineShowProviders,bool,,Is Time Line Show Providers?
ClinicalRelationship,TimeLineShowVisits,bool,,Is Time Line Show Visits?

ClinicalRelationshipProspectiveProblem,,,,Clinical Relationship Prospective Problem
ClinicalRelationshipProspectiveProblem,ClinicalRelationship_ID,bigint,,Reference to ClinicalRelationship
ClinicalRelationshipProspectiveProblem,ClinicalRelationshipProspectiveProblem_ID,bigint,,ID for ClinicalRelationshipProspectiveProblem
ClinicalRelationshipProspectiveProblem,ProblemCode,varchar,50,Problem Code
ClinicalRelationshipProspectiveProblem,ProblemCodingSystem,varchar,20,Problem Coding System
ClinicalRelationshipProspectiveProblem,RowVersionNumber,int,,Row Version Number

ComponentDispenseVerification,,,,Component Dispense Verification
ComponentDispenseVerification,ComponentDispenseVerification_ID,bigint,,ID for ComponentDispenseVerification
ComponentDispenseVerification,OrderComponent_ID,bigint,,Reference to OrderComponent
ComponentDispenseVerification,PackagedProduct_ID,bigint,,Reference to PackagedProduct
ComponentDispenseVerification,RowVersionNumber,int,,Row Version Number
ComponentDispenseVerification,Staff_ID,bigint,,Reference to Staff
ComponentDispenseVerification,VerificationStatus,int,,Verification Status
ComponentDispenseVerification,VerifyTime,datetime,,Verify Time

ConcernItem,,,,Concern Item
ConcernItem,ConcernItem_ID,bigint,,ID for ConcernItem
ConcernItem,RowVersionNumber,int,,Row Version Number
ConcernItem,VisitConcern_ID,bigint,,Reference to VisitConcern
ConcernItem,VisitObservation_ID,bigint,,Reference to VisitObservation
ConcernItem,VisitProblem_ID,bigint,,Reference to VisitProblem

Condition,,,,Condition
Condition,ApplicationAreas,varchar,1000,Application Areas
Condition,ApplicationList,varchar,100,Application List
Condition,AutogenerateName,bool,,Is Autogenerate Name?
Condition,BuiltInCondition,bool,,Is Built In Condition?
Condition,BuiltInConditionNumber,int,,Built In Condition Number
Condition,Category,varchar,100,Category
Condition,CheckAllPatientVisits,bool,,Is Check All Patient Visits?
Condition,Condition_ID,bigint,,ID for Condition
Condition,ConditionDataSetName,varchar,50,Condition Data Set Name
Condition,ConditionDescription,varchar,2000,Condition Description
Condition,ConditionName,varchar,300,Condition Name
Condition,ConditionScope,varchar,100,Condition Scope
Condition,ConditionTableName,varchar,32,Condition Table Name
Condition,ConditionType,varchar,15,Condition Type
Condition,CountNumber,int,,Count Number
Condition,CountOperator,varchar,20,Count Operator
Condition,DateModified,datetime,,Date Modified
Condition,Generated,bool,,Is Generated?
Condition,GeneratedType,varchar,50,Generated Type
Condition,JoinExpression,varchar,500,Join Expression
Condition,JoinType,varchar,3,Join Type
Condition,NotCondition,bool,,Is Not Condition?
Condition,ReturnedValue2Label,varchar,30,Returned Value2 Label
Condition,ReturnedValue3Label,varchar,30,Returned Value3 Label
Condition,ReturnedValue4Label,varchar,30,Returned Value4 Label
Condition,ReturnedValue5Label,varchar,30,Returned Value5 Label
Condition,ReturnedValueLabel,varchar,30,Returned Value Label
Condition,ReturnedValueOptions,varchar,2000,Returned Value Options
Condition,RowVersionNumber,int,,Row Version Number
Condition,SubConditionsExpressionText,varchar,,Sub Conditions Expression Text
Condition,UsePreEvaluationMinutes,int,,Use Pre Evaluation Minutes

ConditionCategory,,,,Condition Category
ConditionCategory,Category,varchar,100,Category
ConditionCategory,Condition_ID,bigint,,Reference to Condition
ConditionCategory,ConditionCategory_ID,bigint,,ID for ConditionCategory
ConditionCategory,RowVersionNumber,int,,Row Version Number

ConditionClause,,,,Condition Clause
ConditionClause,ClauseOrder,int,,Clause Order
ConditionClause,ClauseValueType,int,,Clause Value Type
ConditionClause,CodeText,varchar,,Code Text
ConditionClause,Condition_ID,bigint,,Reference to Condition
ConditionClause,ConditionClause_ID,bigint,,ID for ConditionClause
ConditionClause,CountNumber,int,,Count Number
ConditionClause,CountOperator,varchar,20,Count Operator
ConditionClause,ExpressionFieldName,varchar,100,Expression Field Name
ConditionClause,ExpressionOperator,varchar,20,Expression Operator
ConditionClause,ExpressionText,varchar,,Expression Text
ConditionClause,ExpressionValue,varchar,100,Expression Value
ConditionClause,GeneratedClauseType,varchar,50,Generated Clause Type
ConditionClause,ReturnedValue,varchar,,Returned Value
ConditionClause,ReturnedValue2,varchar,,Returned Value2
ConditionClause,ReturnedValue3,varchar,,Returned Value3
ConditionClause,ReturnedValue4,varchar,,Returned Value4
ConditionClause,ReturnedValue5,varchar,,Returned Value5
ConditionClause,RowVersionNumber,int,,Row Version Number
ConditionClause,SubCondition_ID,bigint,,Reference to SubCondition

ConsentDocument,,,,Consent Document
ConsentDocument,ConsentDocument_ID,bigint,,ID for ConsentDocument
ConsentDocument,PatientConsent_ID,bigint,,Reference to PatientConsent
ConsentDocument,PatientDocument_ID,bigint,,Reference to PatientDocument
ConsentDocument,RowVersionNumber,int,,Row Version Number

ContainerContent,,,,Container Content
ContainerContent,ContainerContent_ID,bigint,,ID for ContainerContent
ContainerContent,Contaminated,bool,,Is Contaminated?
ContainerContent,ContentID,varchar,40,Content ID
ContainerContent,Cost,decimal,"10,2",Cost
ContainerContent,Order_ID,bigint,,Reference to Order
ContainerContent,PatientVisit_ID,bigint,,Reference to PatientVisit
ContainerContent,QuantityReceived,int,,Quantity Received
ContainerContent,QuantitySent,int,,Quantity Sent
ContainerContent,ReconciliationTypeCode,varchar,20,Reconciliation Type Code
ContainerContent,RowVersionNumber,int,,Row Version Number

ContentStatus,,,,Content Status
ContentStatus,ConfirmedByStaff_ID,bigint,,Reference to ConfirmedByStaff
ContentStatus,ContainerContent_ID,bigint,,Reference to ContainerContent
ContentStatus,Contaminated,bool,,Is Contaminated?
ContentStatus,ContentStatus_ID,bigint,,ID for ContentStatus
ContentStatus,ContentStatusCode,varchar,20,Content Status Code
ContentStatus,ContentStatusReason,varchar,100,Content Status Reason
ContentStatus,CreatedByStaff_ID,bigint,,Reference to CreatedByStaff
ContentStatus,EntryDate,datetime,,Entry Date
ContentStatus,RowVersionNumber,int,,Row Version Number
ContentStatus,Transferred,bool,,Is Transferred?

CopayProduct,,,,Copay Product
CopayProduct,CopayListID,varchar,10,Copay List ID
CopayProduct,CopayProduct_ID,bigint,,ID for CopayProduct
CopayProduct,CopayTier,int,,Copay Tier
CopayProduct,DaysSupplyPerCopay,int,,Days Supply Per Copay
CopayProduct,FirstCopayTerm,varchar,20,First Copay Term
CopayProduct,FlatCopayAmount,decimal,"10,2",Flat Copay Amount
CopayProduct,MaximumCopay,decimal,"10,2",Maximum Copay
CopayProduct,MaximumCopayTier,int,,Maximum Copay Tier
CopayProduct,MinimumCopay,decimal,"10,2",Minimum Copay
CopayProduct,PBMCopay_ID,bigint,,Reference to PBMCopay
CopayProduct,PercentCopayRate,decimal,"5,4",Percent Copay Rate
CopayProduct,PharmacyType,varchar,20,Pharmacy Type
CopayProduct,ProductCode,varchar,15,Product Code
CopayProduct,ProductCodingSystem,varchar,10,Product Coding System
CopayProduct,RowVersionNumber,int,,Row Version Number

CopaySummary,,,,Copay Summary
CopaySummary,CopayListID,varchar,10,Copay List ID
CopaySummary,CopaySummary_ID,bigint,,ID for CopaySummary
CopaySummary,CopayTier,int,,Copay Tier
CopaySummary,DaysSupplyPerCopay,int,,Days Supply Per Copay
CopaySummary,FirstCopayTerm,varchar,20,First Copay Term
CopaySummary,FlatCopayAmount,decimal,"10,2",Flat Copay Amount
CopaySummary,FormularyStatus,varchar,20,Formulary Status
CopaySummary,MaximumCopay,decimal,"10,2",Maximum Copay
CopaySummary,MaximumCopayTier,int,,Maximum Copay Tier
CopaySummary,MinimumCopay,decimal,"10,2",Minimum Copay
CopaySummary,OutOfPocketRangeEnd,numeric,,Out Of Pocket Range End
CopaySummary,OutOfPocketRangeStart,numeric,,Out Of Pocket Range Start
CopaySummary,PBMCopay_ID,bigint,,Reference to PBMCopay
CopaySummary,PercentCopayRate,decimal,"5,4",Percent Copay Rate
CopaySummary,PharmacyType,varchar,20,Pharmacy Type
CopaySummary,ProductType,varchar,20,Product Type
CopaySummary,RowVersionNumber,int,,Row Version Number

CoverageProduct,,,,Coverage Product
CoverageProduct,CoverageListID,varchar,10,Coverage List ID
CoverageProduct,CoverageProduct_ID,bigint,,ID for CoverageProduct
CoverageProduct,PBMCoverage_ID,bigint,,Reference to PBMCoverage
CoverageProduct,PBMCoverageType_ID,bigint,,Reference to PBMCoverageType
CoverageProduct,ProductCode,varchar,15,Product Code
CoverageProduct,ProductCodingSystem,varchar,10,Product Coding System
CoverageProduct,RowVersionNumber,int,,Row Version Number

CoverageProductStep,,,,Coverage Product Step
CoverageProductStep,CoverageProduct_ID,bigint,,Reference to CoverageProduct
CoverageProductStep,CoverageProductStep_ID,bigint,,ID for CoverageProductStep
CoverageProductStep,DiagnosisCode,varchar,15,Diagnosis Code
CoverageProductStep,DiagnosisCodingSystem,varchar,10,Diagnosis Coding System
CoverageProductStep,RowVersionNumber,int,,Row Version Number
CoverageProductStep,StepNumberToTry,int,,Step Number To Try
CoverageProductStep,StepOrder,int,,Step Order
CoverageProductStep,StepProductClassID,int,,Step Product Class ID
CoverageProductStep,StepProductCode,varchar,15,Step Product Code
CoverageProductStep,StepProductCodingSystem,varchar,10,Step Product Coding System
CoverageProductStep,StepProductDrugQualifier,varchar,20,Step Product Drug Qualifier
CoverageProductStep,StepProductSubClassID,int,,Step Product Sub Class ID

DataSetVersion,,,,Data Set Version
DataSetVersion,DataSetName,varchar,50,Data Set Name
DataSetVersion,VersionNumber,int,,Version Number

Department,,,,Department
Department,Department_ID,bigint,,ID for Department
Department,DepartmentCode,varchar,20,Department Code
Department,DepartmentDescription,varchar,2000,Department Description
Department,RowVersionNumber,int,,Row Version Number

DeviceIdentifier,,,,Device Identifier
DeviceIdentifier,AssigningAuthority,varchar,20,Assigning Authority
DeviceIdentifier,DeviceIdentifier_ID,bigint,,ID for DeviceIdentifier
DeviceIdentifier,Identifier,varchar,60,Identifier
DeviceIdentifier,IdentifierType,varchar,20,Identifier Type
DeviceIdentifier,PatientDevice_ID,bigint,,Reference to PatientDevice
DeviceIdentifier,RowVersionNumber,int,,Row Version Number

DispensableProduct,,,,Dispensable Product
DispensableProduct,DEAClass,bool,,Is DEA Class?
DispensableProduct,DefaultComments,varchar,2000,Default Comments
DispensableProduct,DefaultIndication,varchar,100,Default Indication
DispensableProduct,DispensableProduct_ID,bigint,,ID for DispensableProduct
DispensableProduct,DisplayBrandName,varchar,80,Display Brand Name
DispensableProduct,DoseExpression,varchar,200,Dose Expression
DispensableProduct,Form,varchar,30,Form
DispensableProduct,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
DispensableProduct,Measure,varchar,10,Measure
DispensableProduct,MEDICS_CalculateDose,bool,,Is MEDICS _Calculate Dose?
DispensableProduct,MergedToDispensableProduct_ID,bigint,,Reference to MergedToDispensableProduct
DispensableProduct,OTC,bool,,Is OTC?
DispensableProduct,PharmacyNotes,varchar,210,Pharmacy Notes
DispensableProduct,PreferredRxNormCode,varchar,30,Preferred Rx Norm Code
DispensableProduct,RefrigerationStatus,varchar,20,Refrigeration Status
DispensableProduct,RoutedProduct_ID,bigint,,Reference to RoutedProduct
DispensableProduct,RowVersionNumber,int,,Row Version Number
DispensableProduct,SourceType,varchar,20,Source Type
DispensableProduct,Strength,varchar,50,Strength
DispensableProduct,Tag,varchar,10,Tag

DispensableProductComponent,,,,Dispensable Product Component
DispensableProductComponent,ComponentDispensableProduct_ID,bigint,,Reference to ComponentDispensableProduct
DispensableProductComponent,DispensableProduct_ID,bigint,,Reference to DispensableProduct
DispensableProductComponent,DispensableProductComponent_ID,bigint,,ID for DispensableProductComponent
DispensableProductComponent,Quantity,decimal,"15,5",Quantity
DispensableProductComponent,RowVersionNumber,int,,Row Version Number

DispensableProductField,,,,Dispensable Product Field
DispensableProductField,DispensableProduct_ID,bigint,,Reference to DispensableProduct
DispensableProductField,DispensableProductField_ID,bigint,,ID for DispensableProductField
DispensableProductField,FieldValue,varchar,1000,Field Value
DispensableProductField,RowVersionNumber,int,,Row Version Number
DispensableProductField,UserDefinedField_ID,bigint,,Reference to UserDefinedField

DispensableProductIdentifier,,,,Dispensable Product Identifier
DispensableProductIdentifier,ClinicalDatabaseName,varchar,20,Clinical Database Name
DispensableProductIdentifier,DispensableProduct_ID,bigint,,Reference to DispensableProduct
DispensableProductIdentifier,DispensableProductIdentifier_ID,bigint,,ID for DispensableProductIdentifier
DispensableProductIdentifier,Facility_ID,bigint,,Reference to Facility
DispensableProductIdentifier,Identifier,varchar,100,Identifier
DispensableProductIdentifier,IdentifierType,varchar,20,Identifier Type
DispensableProductIdentifier,IsPrimary,bool,,Is Is Primary?
DispensableProductIdentifier,RowVersionNumber,int,,Row Version Number

DispenseBatch,,,,Dispense Batch
DispenseBatch,Active,bool,,Is Active?
DispenseBatch,BatchName,varchar,100,Batch Name
DispenseBatch,DefaultPrinter,varchar,200,Default Printer
DispenseBatch,DispenseBatch_ID,bigint,,ID for DispenseBatch
DispenseBatch,DispenseByAdministration,bool,,Is Dispense By Administration?
DispenseBatch,Facility_ID,bigint,,Reference to Facility
DispenseBatch,Frequency_ID,bigint,,Reference to Frequency
DispenseBatch,FrequencySet_ID,bigint,,Reference to FrequencySet
DispenseBatch,IncludeMedsWithNoDispenses,bool,,Is Include Meds With No Dispenses?
DispenseBatch,MedsWithNoDispensesCondition_ID,bigint,,Reference to MedsWithNoDispensesCondition
DispenseBatch,NextStartTime,datetime,,Next Start Time
DispenseBatch,OrdersCondition_ID,bigint,,Reference to OrdersCondition
DispenseBatch,PatientAdmitCycleDays,int,,Patient Admit Cycle Days
DispenseBatch,PatientSet_ID,bigint,,Reference to PatientSet
DispenseBatch,RowVersionNumber,int,,Row Version Number
