"rfaCommunicating","Communicating Hydrosalpinx - Indicates the presence of fluid in the fallopian tubes connected to the uterus in female patients."
"rfaOccluded","Occluded Hydrosalpinx - Indicates the presence of fluid in the fallopian tubes with a blocked end in female patients."
"rfaHydroUnknown","Hydrosalpinx with Unknown Characteristics - Indicates hydrosalpinx with unspecified features in female patients."
"rfaTubOther","Other Tubal Factor - Indicates other issues related to the fallopian tubes in female patients."
"rfaOvulationDisorders","Ovulation Disorders - Indicates problems with ovulation in female patients."
"rfaOtherMaleFactor","Other Male Factor - Indicates other male infertility issues not specified elsewhere."
"rfaPrematureOvarianFailure","Premature Ovarian Failure - Indicates the loss of ovarian function before the age of 40 in female patients."
"rfaTurnerSyndrome","Turner Syndrome - Indicates the presence of Turner syndrome, a genetic disorder affecting females."
"rfaOtherDimOvarianReserve","Other Diminished Ovarian Reserve - Indicates other issues related to diminished ovarian reserve in female patients."
"rfaOvulationDisorderPCOS","Polycystic Ovary Syndrome (PCOS) - Indicates the presence of PCOS, a hormonal disorder in female patients."
"rfaHypothalamicAmenorrhea","Hypothalamic Amenorrhea - Indicates the absence of menstruation due to a hypothalamic issue in female patients."
"rfaOtherOvulationDisorders","Other Ovulation Disorders - Indicates other issues related to ovulation disorders in female patients."
"rfaOocyteOrEmbryoBanking","Oocyte or Embryo Banking - Indicates the preservation of eggs or embryos for future use."
"rfaUterine","Uterine Factor - Indicates issues related to the uterus in female patients."
"rfaIndicationForUseOfGestationalCarrier","Indication for the use of a gestational carrier (surrogate mother) to carry the pregnancy."
"rfaAbsenceOfUterus","Absence of Uterus - Indicates the absence of the uterus in female patients."
"rfaSignificantUterineAnomaly","Significant Uterine Anomaly - Indicates a significant abnormality in the uterus of female patients."
"rfaMedicalContraindicationToPregnancy","Medical Contraindication to Pregnancy - Indicates medical reasons that make pregnancy risky for the patient."
"rfaGCRecurrentPregnancyLoss","Gestational Carrier for Recurrent Pregnancy Loss - Indicates the use of a gestational carrier for patients with a history of recurrent pregnancy loss."
"rfaGCUnknown","Gestational Carrier - Indicates the use of a gestational carrier, but the reason is unspecified."
"rfaRecurrentPregnancyLoss","Recurrent Pregnancy Loss - Indicates a history of multiple miscarriages in female patients."
"rfaOther","Other Reason - Indicates other reasons not specified elsewhere."
"rfaOtherPGD","Other Preimplantation Genetic Diagnosis (PGD) - Indicates other reasons for PGD not specified elsewhere."
"rfaUnexplained","Unexplained Infertility - Indicates infertility without a clear identifiable cause in the patient."
"rfaOtherNonInfertile","Other Non-Infertile Reason - Indicates other reasons for non-infertility not specified elsewhere."
"rfaSpecifyOtherMaleFactor","Specific details about other male factor infertility if applicable."
"rfaOtherExplain","Explanation for other reasons not specified elsewhere."
"patientethnicity","Patient's ethnic background or ethnicity, comma separated if multiple"
"nofamhistorydate","Date patient indicated no significant Family History"
"patientnurserycourse","Information related to the patient's nursery or neonatal care."
"noscreeninghxdate","Date patient indicated no previous screening tests"
"patientbloodtype","Patient's blood type or blood group."
"nopreghxdate","Date patient indicated no prior pregnancies"
"patientdischht","Newborn Patient's height at the time of discharge from medical care in cm"
"patientdischargedays","Number of days a newborn patient was hospitalized before discharge."
"patientbirthwt","Newborn Patient's birth weight at the time of delivery in kg"
"patientdischwt","Newborn Patient's weight at the time of discharge from medical care."
"noinftreatdate","Date patient indicated no prior infertility treatments"
"patientrestricted","Confidential record flag"
"patientbirthht","Newborn Patient's height at birth or delivery in cm"
"patientprivacytext","Confidential record explanation note"
"patientbirthnote","Notes or comments related to the newborn patient's birth or delivery."
"patientplanstart","Start date of the patient's treatment plan."
"PatientNickName","Nickname or preferred name used by the patient."
"patientdeclaredgender","Gender declared by the patient (M:Male F:Female U:Unknown X:Undifferentiated Blank:Undocumented)"
"patientbannedbyName","Name of the person or entity that banned/fired the patient (if applicable)."
"ispatientregistered","Indicates whether the patient is flagged as having completed registration or not"
"patientkey","Unique key or identifier for the patient."
"patientpartnername","Name of the patient's partner or spouse."
"PatientPassportNumber","Passport number of the patient (if applicable)."
"PatientmiddleName","Middle name/initial of the patient."
"patientimmtrac","Immunization Registry ID Number when known"
"patientfinancialcoordinatorName","Name of the patient's financial coordinator."
"PatientMarital","Marital status of the patient."
"PatientGender","Patient's Declared Gender."
"patientdrivinglicense","Driving license information of the patient (if applicable)."
"custom2","Custom field 2 (additional information or data)."
"patientupdated","Date of the patient's last update in the system."
"PatientGeneration","Generation or age group of the patient such as  JR or III."
"patientdod","Date of the patient's death, if applicable."
"DoctorName","Name of the doctor or healthcare provider responsible for the patient's care (Provider of Record)"
"Patientoccupation","Occupation or profession of the patient."
"Patientpharmphone","Phone number of the patient's pharmacy or pharmacist."
"custom5","Custom field 5 (additional information or data)."
"isPatienthideembryogender","Indicates whether the patient's embryo gender information is hidden or not."
"patientpartnerpatientkey","identifier for the patient's partner. Map with patientkey"
"PatientAccount","Account number or Medical Record Number for the patient."
"patientnocryobill","Indicates whether the patient has no cryobilling records."
"custom1","Custom field 1 (additional information or data)."
"patientPrimaryCareProvider","Name of the patient's primary care provider."
"patientPrimaryCareProvidernpi","NPI (National Provider Identifier) of the patient's primary care provider."
"isnewpatient","Indicates whether the patient is a new patient."
"custom8","Custom field 8 (additional information or data)."
"patientincollectionDate","Date when the patient's information was collected."
"patientuninsured_date","Date when the patient became uninsured."
"patientnobill","Indicates whether there is no billing record for the patient."
"patientselfadd","Indicates if the patient added themselves to the system."
"patientfeeschedule","Fee schedule related to the patient's medical services."
"custom4","Custom field 4 (additional information or data)."
"sourceofpayment_startdate","Start date for the patient's source of payment."
"sourceofpayment_enddate","End date for the patient's source of payment."
"custom7","Custom field 7 (additional information or data)."
"patientobgyn","Name of the patient's obstetrician/gynecologist."
"patientobgynnpi","NPI (National Provider Identifier) of the patient's obstetrician/gynecologist."
"patientblockreport","Indicates if the patient's information is blocked from reporting, to identify Test Patient records."
"PatientReferral","Category of patient source (How did the patient hear about you)"
"patientrefersource","Details of patient source (How did the patient hear about you)"
"patientaddedon","Date when the patient was added to the system."
"Patientpronoun","Pronouns used by the patient."
"patientemployment","Employment details of the patient."
"patientimmtracreminder","Reminder code for Immunization Registry"
"patientaddedby","Name or identifier of the person or entity who added the patient to the system or database.  Note that imported patients or self-registered patients may be blank"
"patientpartneremail","Email address of the patient's partner."
"patientpediatricsmothersFirstName","First name of the patient's mother."
"patientcheckoldpms","Indicates if the patient's information is flagged to check in a prior software system (for instance, to collect older balances)"
"patientisAnonymous","Indicates if the patient's information is anonymous."
"patientbilltopatientkey","identifier for the patient's Responsible Party/Guarantor. Map with patientkey"
"PatientSSN","Social Security Number of the patient."
"Patientpharmfax","Fax number of the patient's pharmacy."
"Patientpharmname","Name of the patient's pharmacy."
"patientNurseName","Name of the nurse attending to the patient aka Nurse of Record"
"PatientDateOfBirth","Date of birth of the patient."
"patientpartnerdob","Date of birth of the patient's partner."
"patientpartnercell","Phone number of the patient's partner."
"FacilityName","Name of the healthcare facility where the patient is registered aka Home Facility, if practice has more than one office."
"custom3","Custom field 3 (additional information or data)."
"patientisnoemail","Indicates if the patient does not wish to receive email"
"patientCustomtagImage","Comma Separated list of icon identifiers, displayed next to patient's name in the system"
"PatientInternationalID","International ID of the patient."
"custom9","Custom field 9 (additional information or data)."
"patienthidden","Inactive patient flag"
"patientimmtracreminderupdatedDate","Date when the patient's immunization registry reminder code was updated."
"PatientFirstName","First name of the patient."
"patientcanbillpatient","Indicates if the patient can be billed."
"patientpartnergender","Gender of the patient's partner."
"patientblockedby","Name or identifier of the person or entity responsible for banning/firing patient from this practice"
"patientsourceofpayment","Source of payment for the patient's medical services."
"patientreferby","Name of the provider who referred the patient."
"patientrefernpi","NPI (National Provider Identifier) of the provider who referred the patient."
"patientCustomtag","Custom tag related to the patient."
"custom10","Custom field 10 (additional information or data)."
"PatientlastName","Last name of the patient."
"patientpediatricsmothersMaidenName","Pateient's Mother's maiden name."
"Patientpharmaddr","address of the patient's pharmacy."
"patientemployer","Name of the patient's employer."
"patientbillrelation","Relationship between the patient and the Responsible Party/Guarantor."
"patientstatementnote","Note printed on the patient's statement or bill."
"patientclinicemailok","Indicates if the patient has agreed to receive clinic emails."
"patientregisterdate","Date when the patient was flagged as having completed registeration."
"custom6","Custom field 6 (additional information or data)."
"PatientHomeCity","City of the patient's home address."
"PatientBillingCity","City of the patient's billing address."
"PatientHomeZip","ZIP code of the patient's home address."
"PatientBillingZip","ZIP code of the patient's billing address."
"PatientHomeCountry","Country of the patient's home address."
"PatientBillingCountry","Country of the patient's billing address."
"PatientHomeNote","Notes related to the patient's home address."
"PatientBillingNote","Notes related to the patient's billing address."
"PatientHomeshared","Indicates if the patient's home address is shared with others."
"PatientBillingshared","Indicates if the patient's billing address is shared with others."
"PatientHomeState","State or province of the patient's home address."
"PatientBillingState","State or province of the patient's billing address."
"PatientHomeAddress2","Additional address details"
"PatientBillingAddress2","Additional address details"
"PatientHomeAddress1","patient's home address."
"PatientBillingAddress1","patient's billing address."
"PatientHomeCounty","County of the patient's home address."
"PatientBillingCounty","County of the patient's billing address."
"PatientHomeIsValid","Indicates if the patient's home address is valid."
"PatientBillingIsValid","Indicates if the patient's billing address is valid."
"patientlanguage","Language preference of the patient, comma separated if multiple"
"isPatientCallBounced","Indicates if an email to the patient bounced or failed to send."
"patientworkphone","Work phone number of the patient."
"patientcellphone","Cell phone number of the patient."
"isPatientinvalid_cellphone","Indicates if the patient's cell phone number is valid or not"
"patienthomephone","Home phone number of the patient."
"patientemail","Email address of the patient."
"patientemergencycontactpersonnumber","Phone number of the patient's emergency contact person."
"isPatientsendemail","Indicates if the patient is set to receive emails."
"isPatientSendSms","Indicates if the patient is set to receive SMS messages."
"patientnote","General note related to the patient."
"patientmaincontacttype","Main contact phone for the patient (home, cell, work)"
"patientemergencycontactperson","Name or identifier of the patient's emergency contact person."
"unlockedDate","Date when the item was unlocked."
"lockby","name of the user who locked the item."
"permitted","list of users who have permission on this record"
"reason","Reason for locking or unlocking the item."
"lockedDate","Date when the item was locked."
