"istaxidoverride","Indicates if there is an override for the tax ID related to the visit."
"isacceptassign","Indicates if the visit accepts assignment or payment on behalf of the patient."
"PatientDispositionCode","Code indicating the patient's disposition after the visit."
"addedby","Name of the person who added the visit information."
"AdmissionType","Type of admission related to the visit."
"cosignduration","Duration of the cosignature related to the visit."
"rxreconciledccdidDoctorName","Name of the doctor associated with the Controlled Chronic Disease Identification (CCDID) reconciliation for prescriptions."
"remainingstatements","Indicates if there are remaining statements or information related to the visit."
"visitkey","Unique key or identifier for the visit."
"visitendDate","Date when the visit was completed or ended."
"isCoded","Indicates if the visit has been coded or categorized."
"AdmissionSource","Source from which the patient was admitted for the visit."
"isemrcoded","Indicates if the visit has been coded in the Electronic Medical Record (EMR) system."
"hospitalizationstartDate","Start date of the patient's hospitalization."
"snomed","SNOMED code related to the hospitalization."
"ishaschart","Indicates if there is a chart available for the hospitalization."
"snomeddx","SNOMED code associated with the hospitalization diagnosis."
"isRefundValid","Indicates if the refund related to the hospitalization is valid."
"patientreferby","Name or identifier of the person who referred the patient for the hospitalization."
"patientrefernpi","NPI (National Provider Identifier) of the person who referred the patient for the hospitalization."
"resourceName","Name of the resource related to the hospitalization."
"hcpcs","HCPCS (Healthcare Common Procedure Coding System) code associated with the hospitalization."
"medicalreconciliationDate","Date when the medical reconciliation for the hospitalization was performed."
"estatements","Indicates if e-statements are available for the hospitalization."
"epsdt","Indicates if the hospitalization is related to EPSDT (Early and Periodic Screening, Diagnostic, and Treatment)."
"status","Current status of the hospitalization."
"patientportalreleasedDate","Date when the hospitalization information was released to the patient portal."
"emrdoctorsealedby","Name of the doctor who sealed the EMR (Electronic Medical Record) for the hospitalization."
"declineencsummaryby","Name of the person who declined the encounter summary for the hospitalization."
"informant","Source of information related to the hospitalization."
"printencsummaryccdiddDoctorName","Name of the doctor associated with printing the encounter summary with CCDID (Controlled Chronic Disease Identification) for the hospitalization."
"curlocation","Current location of the patient during the hospitalization."
"EMRsealedDate","Date when the EMR was sealed for the hospitalization."
"autoaccstate","Automatic acceptance status for the hospitalization."
"color_code","Color code related to the hospitalization."
"valuecodes","Value codes associated with the hospitalization."
"visitstartDate","Start date of the visit or encounter for the hospitalization."
"visitdescription","Description or type of the visit for the hospitalization."
"hospitalizationEndDate","End date of the patient's hospitalization."
"institutional","Indicates if the hospitalization is institutional in nature."
"ClaimConditionCodes","Condition codes associated with the hospitalization claim."
"chartreconciledDate","Date when the chart was reconciled for the hospitalization."
"majorreason","Major reason for the hospitalization."
"ECodeICDcode","ICD (International Classification of Diseases) code associated with the E-code for the hospitalization."
"lastactor","Name or identifier of the last person who acted on the hospitalization."
"declineencsummaryDate","Date when the encounter summary for the hospitalization was declined."
"overridebilltopatientkey","Unique key or identifier for overriding the billing to a different patient for the hospitalization."
"isHospitalinpatient","Indicates if the patient is an inpatient at the hospital."
"notes","General notes related to the hospitalization."
"collectionstep","Collection step related to the hospitalization."
"AdmittingICDcode","ICD code associated with the admitting diagnosis for the hospitalization."
"supervisorDoctor","Name of the doctor serving as the supervisor during the hospitalization."
"isRejected","Indicates if the hospitalization is rejected."
"billingstatus","Status of the billing related to the hospitalization."
"addedon","Date when the hospitalization information was added."
"patientportalreceiveddate","Date when the hospitalization information was received in the patient portal."
"dischargedispositioncode","Discharge disposition code for the hospitalization."
"ishideusnote","Indicates if the US note related to the hospitalization is hidden."
"PrimaryaddedDate","Date when the primary entry was added."
"SecondaryaddedDate","Date when the secondary entry was added."
"TertiaryAddedDate","Date when the tertiary entry was added."
"QuaternaryaddedDate","Date when the quaternary entry was added."
"PatientaddedDate","Date when the patient entry was added."
"PrimaryAmountAdjustment","Amount adjustment for the primary entry."
"SecondaryAmountAdjustment","Amount adjustment for the secondary entry."
"TertiaryAmountAdjustment","Amount adjustment for the tertiary entry."
"QuaternaryAmountAdjustment","Amount adjustment for the quaternary entry."
"PatientAmountAdjustment","Amount adjustment for the patient entry."
"PrimaryPatientSahre","Patient share for the primary entry."
"SecondaryPatientSahre","Patient share for the secondary entry."
"TertiaryPatientSahre","Patient share for the tertiary entry."
"QuaternaryPatientSahre","Patient share for the quaternary entry."
"PrimarybilledDate","Date when the primary entry was billed."
"SecondarybilledDate","Date when the secondary entry was billed."
"TertiarybilledDate","Date when the tertiary entry was billed."
"QuaternarybilledDate","Date when the quaternary entry was billed."
"PatientbilledDate","Date when the patient entry was billed."
"PrimarycompletedDate","Date when the primary entry was completed."
"SecondarycompletedDate","Date when the secondary entry was completed."
"TertiarycompletedDate","Date when the tertiary entry was completed."
"QuaternarycompletedDate","Date when the quaternary entry was completed."
"PatientCompletedDate","Date when the patient entry was completed."
"PrimaryCompletionReason","Reason for completion of the primary entry."
"SecondaryCompletionReason","Reason for completion of the secondary entry."
"TertiaryCompletionReason","Reason for completion of the tertiary entry."
"QuaternaryCompletionReason","Reason for completion of the quaternary entry."
"PatientCompletionReason","Reason for completion of the patient entry."
"isPrimaryBillElectronicallySent","Indicates if the primary bill was sent electronically."
"isSecondaryBillElectronicallySent","Indicates if the secondary bill was sent electronically."
"isTertiaryBillElectronicallySent","Indicates if the tertiary bill was sent electronically."
"isQuaternaryBillElectronicallySent","Indicates if the quaternary bill was sent electronically."
"PrimaryBillingIssue","Billing issue related to the primary entry."
"SecondaryBillingIssue","Billing issue related to the secondary entry."
"TertiaryBillingIssue","Billing issue related to the tertiary entry."
"QuaternaryBillingIssue","Billing issue related to the quaternary entry."
"isPrimaryIncompletePayment","Indicates if there is an incomplete payment for the primary entry."
"isSecondaryIncompletePayment","Indicates if there is an incomplete payment for the secondary entry."
"isTertiaryIncompletePayment","Indicates if there is an incomplete payment for the tertiary entry."
"isQuaternaryIncompletePayment","Indicates if there is an incomplete payment for the quaternary entry."
"Primarypatientinsurancekey","Unique key or identifier for the patient's primary insurance."
"Secondarypatientinsurancekey","Unique key or identifier for the patient's secondary insurance."
"Tertiarypatientinsurancekey","Unique key or identifier for the patient's tertiary insurance."
"Quaternarypatientinsurancekey","Unique key or identifier for the patient's quaternary insurance."
"PrimaryInsurancelevel","Level or type of insurance for the primary entry."
"SecondaryInsurancelevel","Level or type of insurance for the secondary entry."
"TertiaryInsurancelevel","Level or type of insurance for the tertiary entry."
"QuaternaryInsurancelevel","Level or type of insurance for the quaternary entry."
"PrimaryAmountowed","Amount owed for the primary entry."
"SecondaryAmountowed","Amount owed for the secondary entry."
"TertiaryAmountowed","Amount owed for the tertiary entry."
"QuaternaryAmountowed","Amount owed for the quaternary entry."
"PatientAmountowed","Amount owed for the patient entry."
"PrimaryTotalAmountPaid","Total amount paid for the primary entry."
"SecondaryTotalAmountPaid","Total amount paid for the secondary entry."
"TertiaryTotalAmountPaid","Total amount paid for the tertiary entry."
"QuaternaryTotalAmountPaid","Total amount paid for the quaternary entry."
"PatientTotalAmountPaid","Total amount paid for the patient entry."
"PrimaryAmountTransferred","Amount transferred for the primary entry."
"SecondaryAmountTransferred","Amount transferred for the secondary entry."
"TertiaryAmountTransferred","Amount transferred for the tertiary entry."
"QuaternaryAmountTransferred","Amount transferred for the quaternary entry."
