schema,table_name,column_name,datatype,nullable,is_pk,definition
IMG,"SXAIMGElement","ElementTypeFormat","int",false,false,"This further describes the type of data in the binary object data.  For an ElementType of ""image"", it may be useful to store image format, such as BMP, JPG, etc."
IMG,"SXAIMGElement","RelatedGUID","HVCIDdt",true,false,"Internal identifier of record from table in foreign system that is related to this page or annotation.  Used by ClinDoc team."
IMG,"SXAIMGElement","WorkstationGUID","HVCIDdt",true,false,"Internal identifier of the workstation that scanned the document/image"
IMG,"SXAIMGElement","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGElement","PageName","varchar(50)",true,false,"Name of the image page"
IMG,"SXAIMGElement","Author","varchar(50)",true,false,"Author of the image page"
IMG,"SXAIMGElement","AuthoredDate","smalldatetime",true,false,"Date on which the image page was authored"
IMG,"SXAIMGElement","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGDocumentType","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGDocumentType","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGDocumentType","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocumentType","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGDocumentType","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocumentType","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGDocumentType","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGDocumentType","DocumentTypeID","int",false,true,"Auto generated unique primary key value."
IMG,"SXAIMGDocumentType","TypeFormat","int",false,false,"Type of document - [I]mage, [T]ext, [R]TF."
IMG,"SXAIMGDocumentType","TypeCode","varchar(10)",false,false,"An abbreviated descriptive code for the document type."
IMG,"SXAIMGDocumentType","TypeDescription","varchar(80)",false,false,"Describes this document type."
IMG,"SXAIMGDocumentType","PresentationOrder","int",true,false,"Order to display this document type within a list."
IMG,"SXAIMGDocumentType","IsForCompliance","bit",false,false,"If true, then the document type is to be used for compliance with regulations."
IMG,"SXAIMGDocumentType","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGDocumentType","DefaultCompression","int",false,false,"Specifies a default percentage of compression to be applied to images as they are scanned for this document type."
IMG,"SXAIMGDocumentType","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGDocTypeSetXRef","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGDocTypeSetXRef","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGDocTypeSetXRef","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocTypeSetXRef","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGDocTypeSetXRef","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocTypeSetXRef","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGDocTypeSetXRef","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGDocTypeSetXRef","DocTypeSetXRefID","int",false,true,"Auto generated unique primary key value."
IMG,"SXAIMGDocTypeSetXRef","FacilityGUID","HVCIDdt",true,false,"Internal identifier of the facility associated with this document set/type entry.  NULL indicates all facilities."
IMG,"SXAIMGDocTypeSetXRef","DocumentTypeSetID","int",false,false,"A foreign key to the DocumentTypeSetID column in the SXAIMGDocumentTypeSet table."
IMG,"SXAIMGDocTypeSetXRef","DocumentTypeID","int",false,false,"A foreign key to the DocumentTypeID column in the SXAIMGDocumentType table."
IMG,"SXAIMGDocTypeSetXRef","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGDocTypeSetXRef","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGDocument","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGDocument","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGDocument","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocument","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGDocument","TouchedBy","varchar(50)",true,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocument","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGDocument","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGDocument","DocumentID","int",false,true,"Auto generated unique primary key value."
IMG,"SXAIMGDocument","DocumentName","varchar(50)",true,false,"Descriptive name of document."
IMG,"SXAIMGDocument","DocTypeSetXRefID","int",false,false,"A foreign key to the DocTypeSetXRefID column in the SXAIMGDocTypeSetXRef table."
IMG,"SXAIMGDocument","ClientGUID","HVCIDdt",false,false,"Internal identifier of the patient owning the document"
IMG,"SXAIMGDocument","VisitGUID","HVCIDdt",true,false,"Internal ID of the visit associated with the document."
IMG,"SXAIMGDocument","FacilityGUID","HVCIDdt",true,false,"Internal identifier of the facility that is associated with the document."
IMG,"SXAIMGDocument","SecurityLevel","int",false,false,"Security level that can be associated with the document."
IMG,"SXAIMGDocument","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGDocument","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGDocument","Status","nvarchar(10)",true,false,"Used for Active/Deactive image document (which will reflect in digital form tab in etiher visit/patient tab sequence.)"
IMG,"SXAIMGRelatedElementXref","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGRelatedElementXref","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGRelatedElementXref","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGRelatedElementXref","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGRelatedElementXref","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGRelatedElementXref","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGRelatedElementXref","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGRelatedElementXref","RelatedElementID","int",false,false,"A foreign key to the ElementID column in the SXAIMGElement table."
IMG,"SXAIMGRelatedElementXref","ParentElementID","int",false,false,"A foreign key to the ElementID column in the SXAIMGElement table."
IMG,"SXAIMGRelatedElementXref","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGRelatedElementXref","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGBinaryObject","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGBinaryObject","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGBinaryObject","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGBinaryObject","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGBinaryObject","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGBinaryObject","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGBinaryObject","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGBinaryObject","ElementID","int",false,false,"A foreign key to the ElementID column in the SXAIMGElement table."
IMG,"SXAIMGBinaryObject","Blob","varbinary(max)",true,false,"The actual binary data for the document/image."
IMG,"SXAIMGBinaryObject","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGBinaryObject","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
IMG,"SXAIMGBinaryObject","IsCompressed","bit",false,false,"Indicates whether the row is compressed"
IMG,"SXAIMGBinaryObject","BlobThumbnail","varbinary(max)",true,false,"Stores a binary representation of a thumbnail version of the Blob image."
IMG,"SXAIMGBinaryObject","IsBlobMigrated","bit",false,false,"Indicates weather the blob data is migrated or not"
IMG,"SXAIMGDocumentTypeSet","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGDocumentTypeSet","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGDocumentTypeSet","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocumentTypeSet","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGDocumentTypeSet","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGDocumentTypeSet","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGDocumentTypeSet","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGDocumentTypeSet","DocumentTypeSetID","int",false,true,"Auto generated unique primary key value."
IMG,"SXAIMGDocumentTypeSet","SetName","varchar(30)",false,false,"Name of this document set"
IMG,"SXAIMGDocumentTypeSet","Abbreviation","varchar(5)",false,false,"Abbreviation of SetName"
IMG,"SXAIMGDocumentTypeSet","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
IMG,"SXAIMGDocumentTypeSet","ScopeLevel","int",false,false,"Defines default scope to be applied when scanning an image.  Valid values are 1=Patient, 2=Visit, 3=General."
IMG,"SXAIMGDocumentTypeSet","IsInternalSet","bit",false,false,"Boolean value indicating that Document Type Set is for Eclipsys internal use only, that is, it is not to be displayed in the Imaging tool."
IMG,"SXAIMGDocumentTypeSet","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCProcedureDetails","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCProcedureDetails","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCProcedureDetails","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCProcedureDetails","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCProcedureDetails","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCProcedureDetails","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCProcedureDetails","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
MNC,"SXAMNCProcedureDetails","ProcedureDetailsID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCProcedureDetails","Code","varchar(50)",false,false,"The actual HCPCS code used to identify a procedure."
MNC,"SXAMNCProcedureDetails","Cost","SXACurrencyDt",false,false,"The amount to charge for a particular procedure identified by the HCPCS code."
MNC,"SXAMNCProcedureDetails","CustomMessage","varchar(max)",true,false,"Column to allow custom messages to be displayed in the case of a failed Medical Necessity Check."
MNC,"SXAMNCProcedureDetails","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCProcedureDetails","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCQueryProcedure","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCQueryProcedure","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCQueryProcedure","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCQueryProcedure","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCQueryProcedure","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCQueryProcedure","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCQueryProcedure","QueryProcedureID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCQueryProcedure","QueryID","int",false,false,"A foreign key to the QueryID column in the SXAMNCQuery table."
MNC,"SXAMNCQueryProcedure","HCPCSCode","varchar(30)",false,false,"The HCPCS code associated with the procedure"
MNC,"SXAMNCQueryProcedure","Description","varchar(255)",false,false,"The description of the procedure"
MNC,"SXAMNCQueryProcedure","CustomMessage","varchar(max)",true,false,"Customized rejection message"
MNC,"SXAMNCQueryProcedure","Cost","SXACurrencyDt",true,false,"The amount that will be charged to the patient for the procedure"
MNC,"SXAMNCQueryProcedure","ReasonID","int",true,false,"A foreign key to the ReasonID column in the SXAMNCReason table."
MNC,"SXAMNCQueryProcedure","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCQueryProcedure","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCQueryProcedure","FrequencyCode","varchar(7)",true,false,"Specifies codes for MNC Frequency violations warning"
MNC,"SXAMNCQueryProcedure","CodeBeforeTranslation","varchar(30)",true,false,"Contains the requested procedure code, before any configured code translation to generate the payer-specific code for the Medical Necessity Check query"
MNC,"SXAMNCQueryProcedure","DescriptionBeforeTranslation","varchar(255)",true,false,"Contains the description of the requested procedure code if the code was translated to generate a payer-specific code"
MNC,"SXAMNCQuery","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCQuery","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCQuery","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCQuery","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCQuery","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCQuery","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCQuery","QueryID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCQuery","QueryStatusType","int",false,false,"Indicates whether the query had passed, failed or failed without need of an ABN."
MNC,"SXAMNCQuery","ClientVisitGUID","HVCIDdt",false,false,"The visit that the query is associated with."
MNC,"SXAMNCQuery","CareProviderGUID","HVCIDdt",true,false,"Link to the CV3CareProvider table"
MNC,"SXAMNCQuery","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCQuery","CodeSetType","int",true,false,"Holds the ICD code types. If CodeSet values are ""NULL"" or ""0"" indicates ""ICD9/HCPCS"" and value is ""1"" indicates ""ICD10/HCPCS""."
MNC,"SXAMNCQuery","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCQuery","QueryReference","varchar(255)",true,false,"This is the MNC query reference text."
MNC,"SXAMNCQuery","ProviderNumber","varchar(25)",true,false,"This is the provider number when MNC query runs."
MNC,"SXAMNCQuery","Age","int",true,false,"This is the patient age  when MNC query runs."
MNC,"SXAMNCQuery","Gender","char(1)",true,false,"This is the patient gender when MNC query runs."
MNC,"SXAMNCReason","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCReason","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCReason","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCReason","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCReason","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCReason","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCReason","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
MNC,"SXAMNCReason","ReasonID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCReason","Reason","varchar(255)",false,false,"Specifies the reason a HCPCS/ICD Code combination may be rejected"
MNC,"SXAMNCReason","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCReason","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCABNForm","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCABNForm","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCABNForm","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCABNForm","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCABNForm","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCABNForm","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCABNForm","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
MNC,"SXAMNCABNForm","ABNFormID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCABNForm","QueryID","int",false,false,"A foreign key to the QueryID column in the SXAMNCQuery table."
MNC,"SXAMNCABNForm","ABNStatusType","int",false,false,"Indicates whether the ABN has been signed with a no, with a yes, refusal or not signed at all."
MNC,"SXAMNCABNForm","PrintedDtm","datetime",true,false,"The date the ABN was printed."
MNC,"SXAMNCABNForm","SignedDtm","datetime",true,false,"The date the ABN was signed."
MNC,"SXAMNCABNForm","PatientRep","varchar(50)",true,false,"The patient's representative when signing the form"
MNC,"SXAMNCABNForm","Witness1","varchar(50)",true,false,"The witness of the signing of the ABN"
MNC,"SXAMNCABNForm","Witness2","varchar(50)",true,false,"Another witness of the signing of the ABN"
MNC,"SXAMNCABNForm","ABNComment","varchar(200)",true,false,"A comment associated with the ABN"
MNC,"SXAMNCABNForm","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCABNForm","AdditionalInfo","varchar(250)",true,false,"Stores free text for additional information from the ABN form"
MNC,"SXAMNCABNForm","ABNFormVersion","varchar(30)",true,false,"Stores the MNC ABN Report Version"
MNC,"SXAMNCABNForm","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
MNC,"SXAMNCConfig","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
MNC,"SXAMNCConfig","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
MNC,"SXAMNCConfig","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCConfig","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
MNC,"SXAMNCConfig","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
MNC,"SXAMNCConfig","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
MNC,"SXAMNCConfig","ConfigID","int",false,true,"Auto generated unique primary key value."
MNC,"SXAMNCConfig","IsThirdParty","bit",false,false,"Determines whether environment uses a third party system to review MNC rules or if environment uses their own."
MNC,"SXAMNCConfig","ThirdPartyIP","varchar(50)",true,false,"IP Address used to connect to the third party MNC review system."
MNC,"SXAMNCConfig","ThirdPartyPort","varchar(6)",true,false,"Port number used to connect to the third party MNC review system."
MNC,"SXAMNCConfig","IsThirdPartyBundled","bit",true,false,"Determines whether environment will send multiple procedures and health issues at once or one at a time to the third party MNC review system."
MNC,"SXAMNCConfig","ThirdPartyTimeout","int",true,false,"Amount of time to wait for a response from the third party MNC review system before displaying a timeout warning."
MNC,"SXAMNCConfig","MSrepl_tran_version","uniqueidentifier",false,false,"Optimistic lock identifier."
MNC,"SXAMNCConfig","MSReplrowguid","uniqueidentifier",false,false,"Unique GUID used to support merge replication."
