schema,table_name,definition,column_count,has_pk
SCM,"SXARCMDesktopTemplateTileConfiguration","Stores the configuration associated with  the tiles, that can be configured on the template",10,true
SCM,"CV3ClientVisit","A single contact or visit to a location in the Care Enterprise.",44,true
SCM,"SXACDFHIRDataElementSubDataElementXRef","This table will store the linking between tables SXACDFHIRDataElement and SXACDFHIRSubDataElement.",12,true
SCM,"SXARCMFacilityCodeValueDictionary","This table will store all the facility codes and its descriptions.",11,true
SCM,"SXAESEventPrePostRequisite","Events now allow a pre or post requisite to be defined.  A pre/post requisite is another event that is required to be scheduled before or after the event it is defined for.  This table will store these relationships.",16,true
SCM,"SXARCMTransactionSubTypeMaster","Storing Transaction Subtype Master like Professional Service, Institutional Service etc.",17,true
SCM,"SXARCMRemittanceAdviceRemarkCodeDictionaryDetails","Storing detail information for Remittance Advice Remark Dictionary Code  with Effective Date for Dictionary code",15,true
SCM,"CV3SubgraphObj","Definition of a subgraph.",16,true
SCM,"SXARCMGLExtractType","Represents GL Extract Types",11,true
SCM,"SXARCMDenialConfigClaimReasonAdjTxnCode","This table is used to store Denial Config Claim Reason Adjustment Transaction Codes",16,true
SCM,"SXASHParameter","This table contains the parameters associated with a specific template.  Each message type has certain parameters associated with it.  The template will use the following parameters to build the message",12,true
SCM,"SXABatchListCriteriaParameterValue","This table stores the default value for the tempalte available in SXABatchListCriteriaDefinition table.",13,true
SCM,"SXASRGCaseCostOverheadBased","Stores the costing policy detail of each applicable overhead costing policy for the given case.",22,true
SCM,"SXARCMChargeSummaryExceptionConfig","Table is storing exception configuration defined in charge summarization screen",18,true
SCM,"SXARCMSRExemptDiagnosisCodes","This table is used for storing exempt diagnosis codes uploaded from excel sheet via Upload Utility screen. POA value is not required against these diagnosis codes.",9,true
SCM,"SXAESResourceList","Table store the all the list of users",11,true
SCM,"SXATLVisitTypeInfo","The purpose of this table is to configure the health issue type and care provider role type that are displayed for a  visit type on the Patient Timeline tab.",12,true
SCM,"SXARCMClaimBillingNote","Stores all claim and billing notes entered by user while creating episode",14,true
SCM,"SXAEHIBOSS_ADT_AdditionalPatientData","This table has the mapping between SCM and SDRM identifiers",2,true
SCM,"SXARxDoseForm","This table defines the dosage forms used in the pharmacy subsystem.",15,true
SCM,"SXARCMEpisodeRecastTrigger","Stores Trigger Properties used for Episode Recast",6,true
SCM,"CV3Eligibility","Dictionary of eligibility codes for insurance purposes.",12,true
SCM,"SXARxUnitOfMeasure","This table defines the pharmacy units of measure as loaded from the drug vendor's tables.",13,true
SCM,"CV3PatientHeaderLine","Represents the definition of a display line in the patient header",14,true
SCM,"SXAEDITarget278EntityIDXRef","Stores the entity ID mappings between EDI code and XA code  for a 278 target configuration.",15,true
SCM,"SXARCMStatementWorksheetInfo","Stored Statement Artificate Detail",39,true
SCM,"SXARCMERASCReimbursementGroup","Table to store Ambulatory Surgical group file data",12,true
SCM,"SXAAMBOutpatientReconciliationDetail","Contains outpatient medication reconciliation detail records.",14,true
SCM,"SXAANCBilling","Defines the billing items for Procedure",21,true
SCM,"SXACRCompositeTileDefinition","Contains the default definition of Composite Tiles.  This table is used to provide composite tile templates.  At this point, the table holds only Eclipsys supplied  templates.  The table will have a parent tile category (linked to the Tile Category Template Table, which is SXACRTileDefault) containing child tile categories (again child tiles are linked to SXACRTileDefault)",14,true
SCM,"SXARCMFT1ErrorSeverity","The table will contain FT1 Error Severity",9,true
SCM,"SXAAMContactInfo","Table associating a record in CV3ClientContact table to a dictionary entry in SXAAMContactPatientCommunication",9,false
SCM,"SXARCMMacro","This contains information about Financial class associated for a given combination of Insurance Plan and Account Group.",9,true
SCM,"SXAMMOrder","This Entity contains Pharmacy Orders and links directly to the CV3Order table.
Table to hold pharmacy order details",35,true
SCM,"SXARCMCustomProc","custom attribute procedure per operation type system dictionary",13,true
SCM,"SXARCMERCaseRateException","Stores Case Rate Exception Details for Case Rate in Expected Reimbursement.",14,true
SCM,"CV3EnterpriseColumnDef","Defines an enterprise configurable column for the Patient List.",28,true
SCM,"SXARCMInsuranceRemittanceProfessionalAllocation","Storing Insurance Remittance Allocation Professional information",11,true
SCM,"SCMTaskOccurrenceComments","This new table will store Comments on OrderTaskOccurrences.",15,true
SCM,"SCMObsFSChartComposition","Stores Client level modifications to intake/drip composition.",33,true
SCM,"SXARCMPPS3MTranslationPlaceOfService","This table stores user defined values and their respective 3M acceptable (translated) values for the Place Of Service field.Data for this table is loaded by the user using the Dictionary Maintanence UI.",12,true
SCM,"SXARCMRelationshipTranslationCode","This table holds the Relationship codes acceptable for 837 claims and available for translation on the Relationship Translation screen (SFM Config --> Dictionary Maintanence --> Billing / Receivable - General --> Claim Population --> Relationship Translation)",11,true
SCM,"SXASCLLocation","Sunrise Charge Logic main location table",13,true
SCM,"SXARCMClaimFieldMaster","This is the master table to store the Field details configuration",13,true
SCM,"SCMObsFSRowComment","This table stores the comments attached to a parameter row in a flowsheet",13,true
SCM,"SXARCMGLCompositionKeyConfig","Represents GL Extract Composition Key Configuration",19,true
SCM,"SXAAMBSBillChargeHeader","Header for ilink HL7 integration",23,true
SCM,"SXAAMBSBillUserCareProviderXRef","Table that stores which users are allowed to complete open SuperBills on behalf of a care provider.",8,true
SCM,"SXACDFSParamFanoutXRef","This table is used to store the fanout mappings of Structured Notes parameters to Flowsheet parameters and Flowsheet parameters to Flowsheet parameters.",12,true
SCM,"CV3SignatureGroup","Provide functionality for Signing by Other Providers.  This table will contain all the signature groups.",13,true
SCM,"SXARCMDNFBReason","This table contains the dictionary of the  DNFB Reason which will be consumed in DNFB Reporting.",10,true
SCM,"SXAAMBPharmacySpecialtyNameXREF","Maintains Specialty names in Pharmacy Download",11,true
SCM,"SXARCMILStatusCode","Status code dictionary which will be used in Episode Supplemental screen",11,true
SCM,"SXASCLVisitLevelCalcItems","Sunrise Charge Logic Encounter SOS Visit Levels Calculation Items",10,true
SCM,"SXAAMBClientPharmacyXREF","Stores a list of pharmacies for each patient.",11,true
SCM,"SXARCMChargeSummaryAIRConfig","This table is used when doing All Inclusive Revenue Code summarization in third party billing. The table allows the association of a visit type with a revenue code. This revenue code is used in expected reimbursement  to retrieve OMB rate associated with it. The revenue code is also used in claim line population.",11,true
SCM,"SXAESMCTemplateDefinitionAvailabilityEventXREF","DefinitionAvailabilities in Master Calendars templates may have restrictions where only certain types of events may be preformed during that time, this XREF holds the events that may be preformed.",11,true
SCM,"SXACDDocumentStore","Storage for Exchange Documents",11,true
SCM,"SXARCMProviderAdjustmentCode","Storing Provider Code information Adjustment information like Late Charge, Interest Penalty Charge etc.",12,true
SCM,"CV3OrderTask","A task associated to a particular order. It contains the necessary information for generating an order task occurrence.",64,true
SCM,"CV3SpecimenType","Dictionary of Specimen Types.",13,true
SCM,"SXAHMEventCategoryXRef","Cross reference table to link an event to mulitple categories that come from the event category dictionary.",10,true
SCM,"SXAEDIInsuranceAuthorizationContact","Stores the contact information for an insurance plan when performing authorization.",23,true
SCM,"SXAESEquipment","Stores the equipment available as a schedulable resource.",22,true
SCM,"SXAGNAuditableEvent","Configuration table used to store information on which events get audited and the mapping to the EAS audit events",14,true
SCM,"SXARCMSelfPayDiscountConfigurationDetail","stores Self Pay Discount Configuration details by insurance plan",12,true
SCM,"SXAESLocationDefaultSearchDay","This table stores the default search days of the week that are used by the Location Defaults in the book appointment screen.  There is one row for each day that defaulted to be active.",11,true
SCM,"SXASRGDepartmentSurgicalItem","Store the Surgical Item Information.",29,true
SCM,"CV3FrequencyGroupXRef","Used to group frequencies together so that they can be associated to an order item.",14,true
SCM,"SXARCMEDIRevenueCodeCategoryDetail","Stores Revenue Code Category data for reports.",12,true
SCM,"SXARCMDenialConfigExclusionDenialException","Store denial creation configuration at CARC exclusion level.",11,true
SCM,"SXAANCImageViewerXREF","Configuration information for Image viewer setting for modality- LFG config unit",12,true
SCM,"SXAAMBICDList","Master list of Diagnosis (ICD9) Health Issue Codes",12,true
SCM,"SXACDPreference","This table is used for storing various customizable preferences for the Clinical Documentation team.  This includes Flowsheets, Structure Notes, End of Visit, and Doc Review",18,true
SCM,"SXARCMPPS3MOutputItemEditData","Stores any edits that we may get related to the line item data from 3M after making the service call.",14,true
SCM,"CV3HealthIssueDeclaration","A condition that requires diagnostic, therapeutic, or educational action.",56,true
SCM,"SXARCMContributingType","Stored all the Contributing type data.",11,true
SCM,"SXARCMERFlowThruICDMapping","Stores ICD 10 mapping for CPT codes entered from Flow Thru while doing Reimbursement configuration.",13,true
SCM,"SXARCMFIPSStateCountyCode","Store State County FIPS Code",10,true
SCM,"SXAAMBSVAppointmentComment","Contains all appointment related comments received from NTE segment of HL7 message. Comments received from NTE segment of HL7 messages.",11,true
SCM,"SXACDExDocFilter","Used to store the filter definition records for CCDA documents",11,true
SCM,"SXAMMMessageStatusHistory","This entity contains information about message status changes. The current status of a given message will be in the SXAMMMessage table.",15,true
SCM,"SXAAMREFReferralFormProviderXREF","This table is used to stored detault Referral From Provider and To Provider for particular referral Form and user.",12,true
SCM,"SXASRGProcedureAverageCaseDetail","PHI: Contains the case data needed to calculate procedure averages.",16,true
SCM,"SXASCLCategory","Sunrise Charge Logic Category main table, contains different categories like disposition list, arrival mode, etc.",12,true
SCM,"SXAAMThirdPartyVerificationResult","SXAAMThirdPartyVerificationResult stores the results of a Verification Workflow's  third-party plug-in invocation for  patients and, if present, visits.",12,true
SCM,"SXAFBAutoChartingRules","The purpose of this table is to add the rules for the particular form saved in the form Builder.",12,true
SCM,"SXAAMWLIndicatorProcedureCatCode","Contains the values for In Proc Category/Code dictionary",12,true
SCM,"SXACDIHECode","This table stores the IHE Codes. The IHE codes are inserted using data load scripts.",12,true
SCM,"SXAEISRequestExecution","Archive for  SXAESMCExceptionDefinitionAvailabilityLocationXREFARC",24,true
SCM,"SXAESMCSpecificDate","One type of Master Calendar is effective on specific dates, which are defined by an administrator. This table stores these specific effective dates.",11,true
SCM,"CV3UserDictionaryValue","A list of valid values for a user-defined dictionary.",14,true
SCM,"SXAAMFHIRCareProviderRoleTypeCareProviderXref","Stores practitioner role�s UUID",11,true
SCM,"SXAESPattern","Stores recurrence patterns used for scheduling recurring appointments.",31,true
SCM,"SXARCMPaymentMethod","It is used to store payment method as received in 835 file's CLP 07 segment",9,true
SCM,"SXARCMPPSSNFClaimLineOutputData","System Dictionary used in revenue cycle setup of PG Billing. It is used during statement generation to identify if the subsequent statement will have all the transactions or the newly added ones.",19,true
SCM,"CV3DosingOption","Stores the dosing option defined by the user.",26,true
SCM,"SCMObsFSShiftFrequency","This table stores the details of the shift timings that are attached to a flowsheet.",14,true
SCM,"SXASRGCaseCostUsageBased","Stores the data needed for calculating the case item costs.",17,true
SCM,"SXASRGSurgicalItem","This table contains the surgical items and groups of the Surgery system. Surgical groups are composed of one or more surgical items.",19,true
SCM,"SXASRGHazard","Stores Details of the Hazards",11,true
SCM,"SXAEISEquivalentValueSet","Meta Data table that defines a single set of values in the equivalent value collection",12,true
SCM,"SXAESAppointmentCustomFieldCategory","When appointments are booked we need to store the custom field information that was entered for that appointment.  This table stores the categories of that data.",11,true
SCM,"SXARCMWorksheetTransactionAllocation","Storing Transaction Information against Workhseet",30,true
SCM,"SXACRTileIVDripItemXref","Stores the one tile to many observation master catalog items configured for the IV Drip Tile instance.",12,true
SCM,"SXAEDI270FacilityApplicationConfiguration","This table stores auto eligibiity inquiry on/off setting for Sunrise application type(s) by facility.",10,true
SCM,"SXAGNMessageCultureDefault","Stores default message configuration by culture",14,false
SCM,"CV3OrderUserData","Additional, facility-defined data required to place an order.",16,true
SCM,"CV3CareProvider","A person who provides service to a patient.",20,true
SCM,"SXARCMEpisodePrincipalVisitPolicyServiceXREF","Stores Principal Visit policy Service details",11,true
SCM,"SXARCMSelfPayDiscountConfigurationDefinition","stores Self Pay Discount Configuration by effective date",10,true
SCM,"SXARCMGLIncomeAnalysis","Holds income analysis after going through GL process",56,true
SCM,"SXARCMClaimEdit","This table will store different edits(rules) related to claim. These edits(rules) will be evaluated in order to identify whether there are errors.",24,true
SCM,"SXAHMImmEvaluatedVaccineDtl","Contains details of the evaluated vaccine and the components",19,true
SCM,"SXAINVSourceContact","Contact Information associated with each source",16,true
SCM,"CV3OrderCostDisplayPolicy","Dictionary for Cost range policies",14,true
SCM,"SXASCLCPTHCPCSAddEndNum","Sunrise Charge Logic CPT and HCPSC table, holds data for CPT, Status,payment, rate and unadjusted co-payment.",9,false
SCM,"SXASRGPreferenceCardInventorySection","Define Inventory sections that exist in a preference card",11,true
SCM,"SXAGNReconciliationDocument","This table contains the inbound documents to be reconciled.",11,true
SCM,"SXARCMPicklistChargeCategoryDetailConfig","This table store the configuration details for category details for pickist",13,true
SCM,"SXAESRecurrenceSubType","Value table to hold recurrence sub type details",11,true
SCM,"SXAMMOutpatientType","This entity contains a list of Outpatient Types. For example; Chemotherapy, Employee, Long-Term Care",13,true
SCM,"SXAMMManufacturer","This entity contains a list of Drug Manufacturers.",14,true
SCM,"CV3CalculationOption","Provides options for dosage calculation and ECC (estimated creatinine clearance)",13,true
SCM,"SXADMEvitiTypeConversion","To store Disease specific Eviti code data.",12,true
SCM,"SXARCMFunction","This table is used to store the functions",10,true
SCM,"SXARCMRRReportValidationXREF","table used to map validation templates to SXARCMRRReportType.ReportTypeIDs",10,true
SCM,"SXAAMThirdPartyVerificationWorkflowSecUserXREF","SXAAMThirdPartyVerificationWorklowSecurityUsersXREF is a child of SXAAMThirdPartyVerificationWorkflow and allows for the configuring of specific users for whom the third party plug-in will be invoked.",10,true
SCM,"SXACRCatalogTile","Catalog of Clinical Review Tiles.  Each Clinical view contains one or more tiles.  This table stores tile link to the TileDefault table, indicates how the tile should be presented to the user.",16,true
SCM,"SXARCMAccountingPeriod","Central table to store details related to Accounting Period and its details",41,true
SCM,"SXAGNReceivingPartyFacilityXref","The facilities that will send to the receiving party",10,true
SCM,"SXARCMWidget","Storing Widget Information like Comments, Worksheet etc.",19,true
SCM,"SXARCMGLReportTypeExtractConfigXREF","Represents GL ReportType ExtractType ExtractConfig Xref",12,true
SCM,"SXAAMThirdPartyVerificationWorkflowSecGroupXREF","SXAAMThirdPartyVerificationWorklowSecurityGroupsXREF is a child of SXAAMThirdPartyVerificationWorkflow and allows for the configuring of Security Groups required to invoke the third party plug-in.",10,true
SCM,"SXARCMCollectionLevelProgressionRuleReportXREF","Stoed Collection level and Rule report mapping",10,true
SCM,"SXACRTileDefault","Clinical Review Tile lookup list.  This table has the master list of tiles that could be added to a view.  For each tile, this table also indicates the default settings",19,true
SCM,"SXARCMExpressChargeConfig","This table store the configuration details for express charge entry grid",10,true
SCM,"SXARCMOutputConfiguration","DB entity to store all the B/R Output Configurations",13,true
SCM,"SXARCMSRReportHeaderEditDefinition","To store Header Edit definitions",18,true
SCM,"SXARCMPPSItemPaymentIndicatorDictionary","Dictionary For ItemPayment Indicator code and description",11,true
SCM,"SXASHUserMsg","This table contains information about messages that a user has sent and those that have been received.  It is used mainly to describe messages from a user�s perspective.  For instance when generating a user�s mailbox",20,true
SCM,"SXARCMPGStatementCombineGroupWorksheetXREF","Stores worksheets for statement group",17,true
SCM,"SXARCMNYInsuranceReportingDetail","The table to NY regulatory report reporting detail data",15,true
SCM,"SXASRGPreferenceCardProcedure","links preference cards to procedures",15,true
SCM,"SXARCMERFeeScheduleFileDetail","To store Expected Reimbursement Fee schedule File Detail information",13,true
SCM,"SXARCMRevenueCycleDetailDischargeDispositionXREF","The information contained in this table allows the billing process to determine the correct length of stay value to use in expected reimbursement calculation and when reporting value code 80 on a claim. Some payers allow for the discharge date to be counted in the length of stay if the patient has expired. The expiration flag is on the discharge disposition and thus this table is here to allow greater control on which discharge dispositions are to be considered for this calculation.",10,true
SCM,"SXARCMSREMHCPCSCode","Table contains Evaluation and Management Revenue/HCPCS codes",11,true
SCM,"CV3ObservationARC","Contains older observation  records. This table has a single clinical reading of a client characteristic. (Note: this is different from a basic observation which results from a diagnostic order.) Observations are recorded as part of a client document.",29,true
SCM,"SXARCMIDTypeConfig","Accommodate the set up of a Patient Financials ID type to be used in Find Patient XA Integration with RCM",13,true
SCM,"SXAAMFacilityVisitTypeDefaultLocnXREF","Pre-Registrations to have default loc assignment by visit type. The system shall allow only one default location to exist within a facility for each visit type; If the user chooses a visit type that is already in use, prevent the selection and present the following warning ..� This visit type is already assigned a default location.�;  The system shall enable the Pre-Registrations section when the following conditions are met: the location is an assigned location, the location must be active;  When �Is Default Location� is checked on a location, the user must check at least one visit type to associate the default location to;  If default location is checked, the location assignment will occur automatically when creating a visit using the default location assignment. If no default is set for a facility and visit type, then manual location assignment will prevail when creating a visit;  The system shall create a visual indicator in the location tree for any location defined as a default location.",11,false
SCM,"SXARCMERFeeScheduleProviderDetail","Store fee Schedule Config Provider level details  like Provider  selected in config for respective facility",12,true
SCM,"SXARCMAbstractSurgicalTeamDetail","Stores Surgical team details for  Abstarct Surgical Detail Tile.",11,true
SCM,"SXAEISAttributeDefinition","Meta Data table which defines attributes and associates them with an entity",19,true
SCM,"SXASNClientDocFormXREF","Contains the details of FormSectiion Versions for Structured Notes",10,true
SCM,"SXASRGChargingRule","Contains header information of a charging rule.",17,true
SCM,"SXAGNConfigLastUpdate","Save the last time a config object has been updated",7,true
SCM,"CV3EnterpriseClientData","Contains the enterprise-defined data for the client.",162,true
SCM,"SXARCMBPFrequencyProgressionAccountGroupXREF","Stores Budget Plan Frequency Progression Account Group details",10,true
SCM,"SXARCMSubscriber","Table to manage the subscriber tables",15,true
SCM,"SXARCMAssetReceivableSortOrderDetail","table to hold sort ordering for asset receivable field",12,true
SCM,"CV3CatalogSetDuplicate","Defines which sets, or which class of items, are a duplicate of this set. We need to define what sets may be duplicates of another set (or which class of items make a duplicate).  This table is modeled after CV3CatalogItemDuplicate and CV3CatalogTaskDuplicate.",16,true
SCM,"SXARCMPatientResponsibility","This table is created to store master configuration for Patient Responsibility Configuration.",16,true
SCM,"SXAMMPharmacyUnit","This entity contains a list of the unit(s) that are serviced by a pharmacy.",11,true
SCM,"SXAESDictionaryAttribute","This table stores additional attributes for dictionary records in SXAESDictionary. For example,   'Initiation Reason' attribute for Cancel Appointment Reason and Reschedule Reason dictionary.",12,true
SCM,"CV3HealthIssueType","Dictionary of Health Issue Types.",29,true
SCM,"SXARCMPPS3MOutputSecondaryDiagnosis","Stores information related to secondary diagnosis that is returned from 3M after making the service call",12,true
SCM,"SXAANCExamPriority","Used to Store exam Priority",12,true
SCM,"SXAHIMReportServiceLog","This table is used to save start time and ExtractionType",11,true
SCM,"SXARCMDiagnosisCodeCategory","Stores Categorized Diagnosis Codes",14,true
